date,equity,cash,position_value
2022-07-12,10000.0,10000.0,0.0
2022-07-13,10000.0,10000.0,0.0
2022-07-14,9994.300000000001,494.2999999999993,9500.000000000002
2022-07-15,9882.813927576603,9882.813927576603,0.0
2022-07-18,9882.813927576603,9882.813927576603,0.0
2022-07-19,9882.813927576603,9882.813927576603,0.0
2022-07-20,9882.813927576603,9882.813927576603,0.0
2022-07-21,9882.813927576603,9882.813927576603,0.0
2022-07-22,9882.813927576603,9882.813927576603,0.0
2022-07-25,9877.510790160253,1038.9484295778602,8838.562360582393
2022-07-26,10017.936547291001,1038.9484295778602,8978.988117713141
2022-07-27,9946.506094807915,9946.506094807915,0.0
2022-07-28,9941.038711568819,828.7333130765874,9112.305398492232
2022-07-29,9781.468386618266,828.7333130765874,8952.735073541679
2022-08-01,9742.523149204544,9742.523149204544,0.0
2022-08-02,9737.733259925944,1754.5844622594677,7983.148797666477
2022-08-03,9691.454136461212,1754.5844622594677,7936.869674201744
2022-08-04,9784.012383390676,1754.5844622594677,8029.42792113121
2022-08-05,9930.562941029,1754.5844622594677,8175.978478769533
2022-08-08,9941.07447260529,9941.07447260529,0.0
2022-08-09,9941.07447260529,9941.07447260529,0.0
2022-08-10,9941.07447260529,9941.07447260529,0.0
2022-08-11,9941.07447260529,9941.07447260529,0.0
2022-08-12,9941.07447260529,9941.07447260529,0.0
2022-08-15,9941.07447260529,9941.07447260529,0.0
2022-08-16,9935.62543636648,853.8983716818602,9081.72706468462
2022-08-17,10011.658500163841,853.8983716818602,9157.760128481981
2022-08-18,9910.281081767362,853.8983716818602,9056.382710085501
2022-08-19,9927.177318166774,853.8983716818602,9073.278946484914
2022-08-22,9927.177318166774,853.8983716818602,9073.278946484914
2022-08-23,9910.281081767362,853.8983716818602,9056.382710085501
2022-08-24,9817.351781570587,853.8983716818602,8963.453409888727
2022-08-25,9947.062498785242,9947.062498785242,0.0
2022-08-26,9941.593235170098,826.1538765940732,9115.439358576024
2022-08-29,9927.680996490115,9927.680996490115,0.0
2022-08-30,9922.277129170274,915.8315961015123,9006.445533068762
2022-08-31,9922.277129170274,915.8315961015123,9006.445533068762
2022-09-01,9863.52119372621,915.8315961015123,8947.689597624698
2022-09-02,9829.94637347246,915.8315961015123,8914.114777370947
2022-09-05,9813.158963345584,915.8315961015123,8897.327367244072
2022-09-06,9897.096013979963,915.8315961015123,8981.26441787845
2022-09-07,9855.127488662773,915.8315961015123,8939.29589256126
2022-09-08,9813.158963345584,915.8315961015123,8897.327367244072
2022-09-09,9939.06453929715,915.8315961015123,9023.232943195637
2022-09-13,9939.06453929715,915.8315961015123,9023.232943195637
2022-09-14,9762.796732964956,915.8315961015123,8846.965136863444
2022-09-15,9787.97784815527,915.8315961015123,8872.146252053757
2022-09-16,9527.772991188698,915.8315961015123,8611.941395087186
2022-09-19,9443.83594055432,915.8315961015123,8528.004344452807
2022-09-20,9460.623350681195,915.8315961015123,8544.791754579683
2022-09-21,9421.941800266848,9421.941800266848,0.0
2022-09-22,9418.168824949373,3129.8766291568345,6288.292195792538
2022-09-23,9420.667824901831,9420.667824901831,0.0
2022-09-26,9420.667824901831,9420.667824901831,0.0
2022-09-27,9420.667824901831,9420.667824901831,0.0
2022-09-28,9420.667824901831,9420.667824901831,0.0
2022-09-29,9420.667824901831,9420.667824901831,0.0
2022-09-30,9420.667824901831,9420.667824901831,0.0
2022-10-10,9420.667824901831,9420.667824901831,0.0
2022-10-11,9420.667824901831,9420.667824901831,0.0
2022-10-12,9420.667824901831,9420.667824901831,0.0
2022-10-13,9420.667824901831,9420.667824901831,0.0
2022-10-14,9420.667824901831,9420.667824901831,0.0
2022-10-17,9420.667824901831,9420.667824901831,0.0
2022-10-18,9420.667824901831,9420.667824901831,0.0
2022-10-19,9420.667824901831,9420.667824901831,0.0
2022-10-20,9420.667824901831,9420.667824901831,0.0
2022-10-21,9416.898774102165,3135.147441324987,6281.751332777178
2022-10-24,9058.6996484739,3135.147441324987,5923.552207148912
2022-10-25,9032.166379908842,3135.147441324987,5897.018938583856
2022-10-26,9048.51617999863,9048.51617999863,0.0
