date,open,high,low,close,volume
2025-06-24,5.512,5.597,5.512,5.593,3842874.0
2025-06-25,5.601,5.708,5.597,5.702,3724601.0
2025-06-26,5.694,5.715,5.674,5.677,2343963.0
2025-06-27,5.683,5.747,5.674,5.699,2229407.0
2025-06-30,5.706,5.757,5.705,5.752,2444974.0
2025-07-01,5.739,5.773,5.723,5.771,1382361.0
2025-07-02,5.75,5.755,5.718,5.736,1297455.0
2025-07-03,5.736,5.767,5.724,5.76,1197558.0
2025-07-04,5.747,5.814,5.729,5.752,1626178.0
2025-07-07,5.746,5.755,5.73,5.74,787038.0
2025-07-08,5.74,5.828,5.737,5.82,1674850.0
2025-07-09,5.821,5.833,5.789,5.794,1531960.0
2025-07-10,5.794,5.85,5.786,5.827,1303243.0
2025-07-11,5.824,5.914,5.806,5.879,2491185.0
2025-07-14,5.877,5.888,5.859,5.868,1168520.0
2025-07-15,5.855,5.9,5.818,5.866,1582649.0
2025-07-16,5.863,5.917,5.844,5.865,1641379.0
2025-07-17,5.864,5.937,5.858,5.935,1181068.0
2025-07-18,5.937,5.972,5.924,5.954,1608246.0
2025-07-21,5.96,6.017,5.959,6.015,2550110.0
2025-07-22,6.018,6.084,6.007,6.081,2237787.0
2025-07-23,6.084,6.123,6.047,6.059,2803027.0
2025-07-24,6.047,6.157,6.046,6.152,2070370.0
2025-07-25,6.156,6.166,6.128,6.154,3175692.0
2025-07-28,6.154,6.192,6.125,6.18,2017572.0
2025-07-29,6.164,6.221,6.124,6.22,2131929.0
2025-07-30,6.197,6.23,6.129,6.178,1889246.0
2025-07-31,6.151,6.178,6.062,6.086,1986009.0
2025-08-01,6.069,6.117,6.039,6.076,1581956.0
2025-08-04,6.048,6.125,6.041,6.124,1043707.0
2025-08-05,6.127,6.167,6.127,6.165,1206725.0
2025-08-06,6.135,6.223,6.135,6.217,1719765.0
2025-08-07,6.217,6.232,6.155,6.197,1617284.0
2025-08-08,6.168,6.211,6.164,6.186,1036035.0
2025-08-11,6.192,6.273,6.192,6.253,1672288.0
2025-08-12,6.255,6.287,6.228,6.286,1065318.0
2025-08-13,6.295,6.385,6.289,6.371,1792705.0
2025-08-14,6.35,6.386,6.278,6.303,2238969.0
2025-08-15,6.29,6.452,6.283,6.447,2291167.0
2025-08-18,6.477,6.59,6.447,6.537,4186833.0
2025-08-19,6.537,6.575,6.5,6.522,3147655.0
2025-08-20,6.503,6.615,6.456,6.613,3376600.0
2025-08-21,6.625,6.645,6.548,6.575,2983306.0
2025-08-22,6.574,6.71,6.574,6.704,8437785.0
2025-08-25,6.751,6.854,6.733,6.826,8814868.0
2025-08-26,6.799,6.891,6.784,6.837,4988464.0
2025-08-27,6.835,6.949,6.733,6.742,4323272.0
2025-08-28,6.742,6.897,6.672,6.893,3895262.0
2025-08-29,6.883,6.969,6.858,6.93,3494619.0
2025-09-01,6.95,6.999,6.913,6.995,1830813.0
2025-09-02,6.964,6.979,6.784,6.844,2451194.0
2025-09-03,6.851,6.873,6.704,6.729,2409955.0
2025-09-04,6.735,6.783,6.478,6.568,3268974.0
2025-09-05,6.568,6.812,6.547,6.8,3077452.0
2025-09-08,6.8,6.873,6.76,6.862,2330317.0
2025-09-09,6.84,6.866,6.754,6.795,1395901.0
2025-09-10,6.783,6.852,6.74,6.792,1215725.0
2025-09-11,6.789,7.018,6.746,7.013,4717183.0
2025-09-12,7.016,7.09,6.998,7.031,2593774.0
2025-09-15,7.041,7.051,6.998,7.015,3566121.0
2025-09-16,7.017,7.083,6.954,7.071,2361255.0
2025-09-17,7.055,7.152,7.032,7.146,1586836.0
2025-09-18,7.141,7.237,6.989,7.081,3384182.0
2025-09-19,7.068,7.115,7.019,7.05,2855523.0
