date,open,high,low,close,volume
2026-03-23,0.73,0.74,0.708,0.713,11882615.0
2026-03-24,0.724,0.727,0.701,0.726,9107577.0
2026-03-25,0.73,0.753,0.73,0.745,10158227.0
2026-03-26,0.74,0.743,0.725,0.727,6597208.0
2026-03-27,0.714,0.74,0.711,0.734,6244796.0
2026-03-30,0.72,0.737,0.717,0.734,6281802.0
2026-03-31,0.728,0.73,0.707,0.708,8498198.0
2026-04-01,0.728,0.733,0.721,0.729,8851075.0
2026-04-02,0.727,0.728,0.702,0.707,7711924.0
2026-04-03,0.71,0.715,0.704,0.707,5175092.0
2026-04-07,0.709,0.725,0.709,0.719,6988137.0
2026-04-08,0.741,0.767,0.741,0.766,10290859.0
2026-04-09,0.757,0.775,0.753,0.766,8052903.0
2026-04-10,0.778,0.79,0.778,0.781,7789697.0
2026-04-13,0.774,0.798,0.774,0.783,6822983.0
2026-04-14,0.795,0.808,0.794,0.804,8288641.0
2026-04-15,0.811,0.817,0.795,0.799,7797838.0
2026-04-16,0.798,0.811,0.794,0.81,6878260.0
2026-04-17,0.807,0.821,0.804,0.814,6187051.0
2026-04-20,0.815,0.829,0.814,0.827,6837801.0
2026-04-21,0.824,0.825,0.805,0.818,6632696.0
2026-04-22,0.813,0.839,0.813,0.839,10113763.0
2026-04-23,0.846,0.848,0.817,0.824,9387023.0
2026-04-24,0.826,0.848,0.819,0.839,11744618.0
2026-04-27,0.852,0.882,0.848,0.878,12107589.0
2026-04-28,0.873,0.891,0.862,0.868,7513621.0
2026-04-29,0.857,0.868,0.839,0.866,8347152.0
2026-04-30,0.876,0.915,0.874,0.909,12900460.0
2026-05-06,0.947,0.992,0.945,0.957,10695165.0
2026-05-07,0.965,0.978,0.952,0.975,8124786.0
2026-05-08,0.954,0.959,0.94,0.951,8513916.0
2026-05-11,0.978,1.016,0.973,1.009,10805356.0
2026-05-12,1.005,1.025,0.988,1.013,9173728.0
2026-05-13,0.99,1.046,0.98,1.044,9688554.0
2026-05-14,1.053,1.061,1.021,1.022,8772967.0
2026-05-15,1.017,1.062,0.991,1.018,13675723.0
2026-05-18,1.018,1.056,1.015,1.029,8870419.0
2026-05-19,1.016,1.066,0.996,1.066,12149503.0
2026-05-20,1.059,1.114,1.058,1.114,9620483.0
2026-05-21,1.133,1.149,1.061,1.066,11650602.0
2026-05-22,1.073,1.097,1.057,1.095,9662449.0
2026-05-25,1.096,1.175,1.083,1.174,10541575.0
2026-05-26,1.172,1.172,1.124,1.161,11334558.0
2026-05-27,1.165,1.19,1.127,1.133,11467473.0
2026-05-28,1.115,1.154,1.115,1.147,9537105.0
2026-05-29,1.149,1.153,1.068,1.08,11405394.0
2026-06-01,1.077,1.085,1.022,1.023,11178345.0
2026-06-02,1.024,1.056,1.009,1.04,9394950.0
2026-06-03,1.043,1.103,1.043,1.075,9635151.0
2026-06-04,1.055,1.105,1.055,1.097,6711546.0
2026-06-05,1.075,1.091,1.039,1.046,7219129.0
2026-06-08,0.993,1.027,0.988,0.998,8158831.0
2026-06-09,1.024,1.057,1.01,1.055,8309109.0
2026-06-10,1.039,1.086,1.035,1.05,6577005.0
2026-06-11,1.041,1.073,1.041,1.065,6322631.0
2026-06-12,1.109,1.112,1.047,1.053,7162684.0
2026-06-15,1.068,1.116,1.042,1.116,7697145.0
2026-06-16,1.119,1.134,1.109,1.127,5899647.0
2026-06-17,1.111,1.195,1.1,1.194,7890527.0
2026-06-18,1.192,1.254,1.189,1.241,7830702.0
2026-06-22,1.256,1.28,1.225,1.276,7691118.0
2026-06-23,1.265,1.299,1.235,1.256,7727168.0
