date,open,high,low,close,volume
2026-03-23,3.3,3.326,3.206,3.228,16832932
2026-03-24,3.275,3.277,3.145,3.237,14810267
2026-03-25,3.279,3.315,3.262,3.307,11788368
2026-03-26,3.306,3.338,3.256,3.263,9530418
2026-03-27,3.241,3.313,3.221,3.293,9411777
2026-03-30,3.242,3.273,3.216,3.264,9884804
2026-03-31,3.248,3.272,3.178,3.182,13794790
2026-04-01,3.245,3.247,3.2,3.232,11374568
2026-04-02,3.224,3.224,3.148,3.164,10357474
2026-04-03,3.182,3.189,3.139,3.141,7353196
2026-04-07,3.153,3.173,3.125,3.151,7493724
2026-04-08,3.241,3.345,3.235,3.345,14569399
2026-04-09,3.316,3.331,3.292,3.32,7267214
2026-04-10,3.339,3.462,3.339,3.437,13933264
2026-04-13,3.43,3.485,3.421,3.468,10417629
2026-04-14,3.501,3.552,3.484,3.55,10632436
2026-04-15,3.589,3.595,3.482,3.511,13524690
2026-04-16,3.522,3.624,3.511,3.624,14796542
2026-04-17,3.638,3.678,3.61,3.67,15033058
2026-04-20,3.657,3.689,3.636,3.672,14853588
2026-04-21,3.663,3.688,3.614,3.681,13828383
2026-04-22,3.66,3.761,3.66,3.758,18615006
2026-04-23,3.769,3.789,3.684,3.728,14580921
2026-04-24,3.689,3.704,3.63,3.674,17128265
2026-04-27,3.68,3.691,3.643,3.652,9604111
2026-04-28,3.63,3.643,3.588,3.602,11061019
2026-04-29,3.585,3.7,3.578,3.694,10641461
2026-04-30,3.703,3.727,3.668,3.689,10039840
2026-05-06,3.763,3.824,3.733,3.786,19639487
2026-05-07,3.814,3.849,3.769,3.845,8949955
2026-05-08,3.811,3.851,3.796,3.806,9696180
2026-05-11,3.834,3.947,3.806,3.947,13488228
2026-05-12,3.952,3.966,3.907,3.94,12480831
2026-05-13,3.91,4.054,3.904,4.048,12150099
2026-05-14,4.092,4.104,3.948,3.961,14719688
2026-05-15,3.961,4.015,3.88,3.97,19036007
2026-05-18,3.912,3.971,3.892,3.923,13870922
2026-05-19,3.901,3.931,3.82,3.922,14732403
2026-05-20,3.895,3.959,3.895,3.932,11602678
2026-05-21,3.97,4.029,3.835,3.846,18284145
2026-05-22,3.877,3.959,3.866,3.946,14475800
2026-05-25,3.982,4.034,3.916,4.034,13650326
2026-05-26,4.012,4.07,3.997,4.055,16023246
2026-05-27,4.053,4.158,4.027,4.056,17473331
2026-05-28,4.039,4.148,3.984,4.138,14011682
2026-05-29,4.143,4.174,4.022,4.053,16171881
2026-06-01,4.047,4.094,3.956,3.964,13224451
2026-06-02,3.981,4.098,3.959,4.071,14821750
2026-06-03,4.095,4.23,4.076,4.145,16490581
2026-06-04,4.074,4.131,4.065,4.1,10599121
2026-06-05,4.083,4.122,3.947,3.977,14663505
2026-06-08,3.83,3.916,3.79,3.827,17916388
2026-06-09,3.877,3.975,3.836,3.972,15787653
