date,open,high,low,close,volume
2025-06-24,0.552,0.557,0.551,0.555,12364441.0
2025-06-25,0.555,0.557,0.549,0.556,18188062.0
2025-06-26,0.556,0.559,0.554,0.556,10359346.0
2025-06-27,0.555,0.556,0.551,0.552,9267373.0
2025-06-30,0.552,0.559,0.55,0.555,13199255.0
2025-07-01,0.554,0.555,0.551,0.552,7071932.0
2025-07-02,0.552,0.558,0.551,0.554,11996323.0
2025-07-03,0.554,0.558,0.552,0.555,8163888.0
2025-07-04,0.555,0.558,0.553,0.555,8982534.0
2025-07-07,0.556,0.557,0.553,0.554,5508640.0
2025-07-08,0.554,0.559,0.554,0.559,11692789.0
2025-07-09,0.559,0.568,0.557,0.562,18924030.0
2025-07-10,0.561,0.567,0.558,0.565,17630010.0
2025-07-11,0.564,0.574,0.564,0.57,20393731.0
2025-07-14,0.568,0.572,0.564,0.57,17241999.0
2025-07-15,0.567,0.568,0.56,0.562,16398631.0
2025-07-16,0.561,0.568,0.561,0.567,13785307.0
2025-07-17,0.565,0.569,0.564,0.568,8053708.0
2025-07-18,0.568,0.577,0.567,0.575,19204869.0
2025-07-21,0.576,0.576,0.572,0.575,11217885.0
2025-07-22,0.574,0.592,0.574,0.591,29646731.0
2025-07-23,0.591,0.595,0.586,0.587,17815408.0
2025-07-24,0.587,0.591,0.586,0.59,15314264.0
2025-07-25,0.591,0.591,0.58,0.58,19215672.0
2025-07-28,0.58,0.58,0.574,0.578,14595808.0
2025-07-29,0.577,0.579,0.572,0.577,16587673.0
2025-07-30,0.578,0.585,0.577,0.581,20859957.0
2025-07-31,0.579,0.579,0.565,0.568,25080963.0
2025-08-01,0.567,0.569,0.564,0.567,11433879.0
2025-08-04,0.566,0.568,0.564,0.567,6924295.0
2025-08-05,0.567,0.575,0.567,0.574,11554116.0
2025-08-06,0.575,0.576,0.571,0.575,7811005.0
2025-08-07,0.574,0.578,0.573,0.576,9494041.0
2025-08-08,0.576,0.576,0.572,0.573,8750269.0
2025-08-11,0.573,0.586,0.572,0.584,18787580.0
2025-08-12,0.583,0.592,0.581,0.582,20956255.0
2025-08-13,0.581,0.584,0.577,0.582,22521223.0
2025-08-14,0.581,0.589,0.579,0.58,19232528.0
2025-08-15,0.578,0.583,0.575,0.581,17014725.0
2025-08-18,0.582,0.587,0.581,0.585,25676023.0
2025-08-19,0.585,0.599,0.584,0.594,36588137.0
2025-08-20,0.592,0.612,0.589,0.609,35959379.0
2025-08-21,0.609,0.61,0.601,0.603,21829462.0
2025-08-22,0.603,0.609,0.601,0.609,20854898.0
2025-08-25,0.611,0.634,0.61,0.632,38363757.0
2025-08-26,0.63,0.639,0.623,0.63,29984499.0
2025-08-27,0.629,0.629,0.611,0.612,40145744.0
2025-08-28,0.61,0.616,0.598,0.609,31296725.0
2025-08-29,0.612,0.628,0.611,0.625,32406397.0
2025-09-01,0.623,0.626,0.618,0.622,26426327.0
2025-09-02,0.621,0.634,0.617,0.62,30077337.0
2025-09-03,0.622,0.63,0.609,0.611,22615951.0
2025-09-04,0.611,0.612,0.602,0.612,22189152.0
2025-09-05,0.611,0.616,0.604,0.615,22602965.0
2025-09-08,0.614,0.625,0.612,0.624,22953213.0
2025-09-09,0.623,0.625,0.616,0.624,18911245.0
2025-09-10,0.624,0.631,0.618,0.624,21434325.0
2025-09-11,0.621,0.628,0.62,0.628,21131464.0
2025-09-12,0.628,0.637,0.62,0.621,23356696.0
2025-09-15,0.619,0.621,0.616,0.619,16353225.0
2025-09-16,0.621,0.622,0.615,0.619,13375680.0
2025-09-17,0.618,0.62,0.612,0.614,15878643.0
2025-09-18,0.614,0.614,0.599,0.603,25152782.0
2025-09-19,0.602,0.607,0.595,0.606,22771644.0
2025-09-22,0.603,0.603,0.595,0.596,17517151.0
2025-09-23,0.595,0.598,0.588,0.593,15919585.0
2025-09-24,0.591,0.597,0.59,0.593,14260902.0
2025-09-25,0.594,0.594,0.587,0.588,16813599.0
2025-09-26,0.588,0.59,0.582,0.584,19226870.0
2025-09-29,0.586,0.597,0.582,0.594,21353251.0
2025-09-30,0.592,0.593,0.588,0.59,16435561.0
2025-10-09,0.588,0.588,0.577,0.584,23072348.0
2025-10-10,0.582,0.587,0.581,0.583,14060529.0
2025-10-13,0.575,0.579,0.573,0.577,18898609.0
2025-10-14,0.579,0.594,0.578,0.593,28893031.0
2025-10-15,0.591,0.599,0.588,0.597,19277129.0
2025-10-16,0.594,0.605,0.594,0.604,18556598.0
2025-10-17,0.603,0.604,0.594,0.595,18033079.0
2025-10-20,0.596,0.597,0.59,0.591,14348747.0
2025-10-21,0.591,0.596,0.589,0.592,11368027.0
2025-10-22,0.59,0.595,0.588,0.589,12361342.0
2025-10-23,0.588,0.593,0.585,0.593,15351077.0
2025-10-24,0.592,0.594,0.581,0.582,23519744.0
2025-10-27,0.58,0.585,0.577,0.582,14948545.0
2025-10-28,0.581,0.587,0.58,0.582,15299194.0
2025-10-29,0.58,0.582,0.575,0.579,18035585.0
2025-10-30,0.576,0.585,0.575,0.579,25225468.0
2025-10-31,0.576,0.591,0.575,0.588,27472992.0
2025-11-03,0.585,0.592,0.581,0.588,25455956.0
2025-11-04,0.587,0.588,0.579,0.581,16372598.0
2025-11-05,0.579,0.585,0.576,0.579,16787556.0
2025-11-06,0.581,0.585,0.578,0.58,13678777.0
2025-11-07,0.579,0.582,0.577,0.578,9517824.0
2025-11-10,0.577,0.606,0.576,0.604,49900871.0
2025-11-11,0.6,0.605,0.595,0.603,28266601.0
2025-11-12,0.602,0.609,0.602,0.603,23318598.0
2025-11-13,0.6,0.609,0.599,0.607,25607557.0
2025-11-14,0.605,0.613,0.598,0.598,21279999.0
2025-11-17,0.597,0.602,0.591,0.598,14986699.0
2025-11-18,0.598,0.604,0.593,0.595,13749811.0
2025-11-19,0.595,0.597,0.589,0.592,10744889.0
2025-11-20,0.593,0.597,0.589,0.59,11294632.0
2025-11-21,0.588,0.597,0.581,0.585,15762240.0
2025-11-24,0.584,0.589,0.58,0.581,13001836.0
2025-11-25,0.582,0.583,0.578,0.582,15331009.0
2025-11-26,0.582,0.585,0.58,0.582,13371573.0
2025-11-27,0.583,0.586,0.579,0.583,12124490.0
2025-11-28,0.582,0.585,0.579,0.583,12137468.0
2025-12-01,0.583,0.588,0.581,0.583,11605866.0
2025-12-02,0.583,0.585,0.577,0.577,14607008.0
2025-12-03,0.578,0.578,0.569,0.57,20504367.0
2025-12-04,0.57,0.571,0.559,0.561,20574950.0
2025-12-05,0.56,0.564,0.558,0.563,11376796.0
2025-12-08,0.562,0.564,0.557,0.557,15524002.0
2025-12-09,0.558,0.558,0.547,0.549,19588128.0
2025-12-10,0.548,0.554,0.544,0.553,15002399.0
2025-12-11,0.553,0.554,0.548,0.55,9776638.0
2025-12-12,0.552,0.559,0.55,0.551,18592003.0
2025-12-15,0.557,0.561,0.554,0.554,19910513.0
2025-12-16,0.553,0.555,0.55,0.555,11788407.0
2025-12-17,0.554,0.555,0.548,0.553,10388509.0
2025-12-18,0.553,0.554,0.55,0.552,11787094.0
2025-12-19,0.552,0.556,0.55,0.554,11342637.0
2025-12-22,0.554,0.557,0.552,0.553,14327107.0
2025-12-23,0.553,0.554,0.548,0.55,10598732.0
2025-12-24,0.549,0.549,0.545,0.548,12320788.0
2025-12-25,0.548,0.557,0.547,0.554,18309068.0
2025-12-26,0.552,0.554,0.548,0.55,14938671.0
2025-12-29,0.55,0.55,0.542,0.543,15839207.0
2025-12-30,0.543,0.543,0.539,0.541,9783044.0
2025-12-31,0.541,0.542,0.535,0.536,11606908.0
2026-01-05,0.536,0.547,0.536,0.546,22192604.0
2026-01-06,0.546,0.55,0.543,0.55,17320876.0
2026-01-07,0.55,0.551,0.546,0.547,19050826.0
2026-01-08,0.546,0.547,0.543,0.546,12520979.0
2026-01-09,0.547,0.551,0.545,0.547,12190549.0
2026-01-12,0.547,0.555,0.546,0.553,17212050.0
2026-01-13,0.554,0.555,0.546,0.548,16125102.0
2026-01-14,0.547,0.553,0.541,0.545,18083937.0
2026-01-15,0.543,0.546,0.539,0.54,12457746.0
2026-01-16,0.541,0.542,0.535,0.537,12515096.0
2026-01-19,0.536,0.538,0.534,0.535,10257797.0
2026-01-20,0.536,0.542,0.534,0.54,14136280.0
2026-01-21,0.539,0.539,0.529,0.531,19279772.0
2026-01-22,0.53,0.533,0.528,0.529,10688463.0
2026-01-23,0.529,0.531,0.526,0.527,13625167.0
2026-01-26,0.525,0.526,0.516,0.524,22317533.0
2026-01-27,0.522,0.523,0.514,0.516,17585600.0
2026-01-28,0.515,0.52,0.512,0.516,16357382.0
2026-01-29,0.515,0.568,0.515,0.568,79431654.0
2026-01-30,0.562,0.562,0.54,0.541,49356607.0
2026-02-02,0.536,0.566,0.536,0.549,42217537.0
2026-02-03,0.544,0.56,0.544,0.551,26031364.0
2026-02-04,0.549,0.566,0.546,0.562,32386301.0
2026-02-05,0.56,0.572,0.558,0.565,33174099.0
2026-02-06,0.562,0.567,0.553,0.554,21439058.0
2026-02-09,0.553,0.557,0.55,0.554,17605200.0
2026-02-10,0.553,0.553,0.543,0.545,17981959.0
2026-02-11,0.545,0.548,0.542,0.545,14300859.0
2026-02-12,0.543,0.544,0.535,0.535,15118803.0
2026-02-13,0.536,0.542,0.533,0.535,13734471.0
2026-02-24,0.539,0.542,0.527,0.529,14091847.0
2026-02-25,0.529,0.535,0.528,0.532,10702949.0
2026-02-26,0.531,0.532,0.523,0.525,11699263.0
2026-02-27,0.525,0.527,0.523,0.526,7767970.0
2026-03-02,0.52,0.523,0.513,0.516,15363013.0
2026-03-03,0.514,0.524,0.509,0.515,21651713.0
2026-03-04,0.511,0.511,0.5,0.502,20407071.0
2026-03-05,0.505,0.507,0.501,0.503,8256932.0
2026-03-06,0.501,0.511,0.5,0.51,19477342.0
2026-03-09,0.505,0.508,0.503,0.505,12143695.0
2026-03-10,0.507,0.509,0.505,0.508,8416045.0
2026-03-11,0.507,0.508,0.504,0.506,7984401.0
2026-03-12,0.505,0.509,0.503,0.506,13553459.0
2026-03-13,0.505,0.514,0.504,0.512,17529028.0
2026-03-16,0.511,0.523,0.51,0.519,17398665.0
2026-03-17,0.517,0.525,0.515,0.518,14300678.0
2026-03-18,0.518,0.52,0.51,0.513,10907853.0
2026-03-19,0.51,0.511,0.504,0.504,12175669.0
2026-03-20,0.505,0.507,0.499,0.5,11513647.0
2026-03-23,0.496,0.496,0.482,0.484,17644462.0
2026-03-24,0.487,0.49,0.482,0.49,11081436.0
2026-03-25,0.489,0.493,0.487,0.492,9746785.0
2026-03-26,0.491,0.495,0.485,0.486,9881569.0
2026-03-27,0.483,0.495,0.483,0.492,11971699.0
2026-03-30,0.487,0.497,0.487,0.493,11430394.0
2026-03-31,0.503,0.507,0.492,0.493,15262051.0
2026-04-01,0.494,0.502,0.492,0.498,11041824.0
2026-04-02,0.496,0.503,0.495,0.499,10444696.0
2026-04-03,0.5,0.502,0.492,0.494,7938871.0
2026-04-07,0.493,0.497,0.488,0.491,7744962.0
2026-04-08,0.495,0.499,0.493,0.498,16845299.0
2026-04-09,0.496,0.497,0.489,0.49,10597557.0
