date,open,high,low,close,volume
2026-03-23,0.76,0.761,0.733,0.736,8491824.0
2026-03-24,0.739,0.743,0.732,0.742,4642580.0
2026-03-25,0.741,0.747,0.737,0.747,3899984.0
2026-03-26,0.746,0.749,0.738,0.739,6098522.0
2026-03-27,0.736,0.753,0.735,0.752,5445278.0
2026-03-30,0.745,0.757,0.745,0.753,3972893.0
2026-03-31,0.757,0.762,0.742,0.742,7937258.0
2026-04-01,0.747,0.754,0.744,0.751,3634009.0
2026-04-02,0.75,0.761,0.748,0.756,4044343.0
2026-04-03,0.756,0.757,0.745,0.747,2972841.0
2026-04-07,0.747,0.752,0.743,0.745,3113428.0
2026-04-08,0.753,0.757,0.748,0.757,5803719.0
2026-04-09,0.753,0.754,0.744,0.747,3609130.0
2026-04-10,0.747,0.749,0.741,0.743,12417288.0
2026-04-13,0.741,0.745,0.738,0.744,6382730.0
2026-04-14,0.745,0.751,0.742,0.751,5314142.0
2026-04-15,0.75,0.754,0.747,0.752,6431325.0
2026-04-16,0.752,0.753,0.749,0.753,3394576.0
2026-04-17,0.747,0.747,0.74,0.742,7058046.0
2026-04-20,0.742,0.744,0.739,0.742,5230536.0
2026-04-21,0.742,0.747,0.74,0.742,4846740.0
2026-04-22,0.74,0.744,0.735,0.737,3439869.0
2026-04-23,0.737,0.742,0.733,0.737,5154697.0
2026-04-24,0.736,0.74,0.732,0.737,3373514.0
2026-04-27,0.734,0.735,0.729,0.731,3123985.0
2026-04-28,0.73,0.733,0.728,0.732,3594153.0
2026-04-29,0.732,0.748,0.731,0.745,5452947.0
2026-04-30,0.745,0.753,0.743,0.747,4895282.0
2026-05-06,0.74,0.742,0.735,0.742,4829362.0
2026-05-07,0.741,0.746,0.737,0.739,3648240.0
2026-05-08,0.738,0.741,0.732,0.734,4686874.0
2026-05-11,0.732,0.737,0.728,0.736,4990012.0
2026-05-12,0.735,0.736,0.723,0.725,5418498.0
2026-05-13,0.723,0.726,0.716,0.719,3733818.0
2026-05-14,0.72,0.732,0.716,0.72,6068319.0
2026-05-15,0.719,0.72,0.706,0.708,4917825.0
2026-05-18,0.709,0.71,0.698,0.7,3808660.0
2026-05-19,0.7,0.707,0.696,0.7,2946993.0
2026-05-20,0.699,0.705,0.696,0.699,2999556.0
2026-05-21,0.698,0.705,0.69,0.69,4238709.0
2026-05-22,0.692,0.693,0.68,0.682,3851917.0
2026-05-25,0.682,0.686,0.674,0.681,5516139.0
2026-05-26,0.68,0.684,0.676,0.68,3007341.0
2026-05-27,0.679,0.69,0.668,0.682,13980902.0
2026-05-28,0.679,0.679,0.668,0.67,5870697.0
2026-05-29,0.669,0.692,0.667,0.689,8427272.0
2026-06-01,0.687,0.691,0.679,0.691,3833946.0
2026-06-02,0.689,0.69,0.678,0.68,4972392.0
2026-06-03,0.678,0.678,0.664,0.67,6409244.0
2026-06-04,0.668,0.673,0.658,0.659,4348615.0
2026-06-05,0.659,0.668,0.656,0.658,4829841.0
2026-06-08,0.656,0.659,0.642,0.646,5378824.0
2026-06-09,0.645,0.649,0.641,0.644,3574829.0
2026-06-10,0.643,0.653,0.641,0.65,4023846.0
2026-06-11,0.65,0.651,0.643,0.65,3308834.0
2026-06-12,0.65,0.66,0.645,0.657,3403955.0
2026-06-15,0.656,0.66,0.649,0.654,4141608.0
2026-06-16,0.652,0.652,0.64,0.641,5292064.0
2026-06-17,0.64,0.642,0.631,0.635,4445422.0
2026-06-18,0.634,0.634,0.621,0.623,5117386.0
2026-06-22,0.621,0.631,0.611,0.627,5936251.0
2026-06-23,0.626,0.637,0.615,0.617,4446977.0
2026-06-24,0.617,0.623,0.607,0.608,4895828.0
2026-06-25,0.606,0.616,0.599,0.61,6044023.0
2026-06-26,0.611,0.616,0.602,0.603,4460339.0
2026-06-29,0.602,0.626,0.593,0.622,6796332.0
2026-06-30,0.617,0.62,0.608,0.615,4550940.0
2026-07-01,0.614,0.634,0.611,0.63,5575080.0
2026-07-02,0.63,0.636,0.622,0.628,4883392.0
2026-07-03,0.628,0.635,0.623,0.628,4048483.0
2026-07-06,0.627,0.643,0.625,0.64,5695860.0
2026-07-07,0.639,0.639,0.627,0.63,4551419.0
2026-07-08,0.629,0.633,0.621,0.625,3845963.0
2026-07-09,0.624,0.625,0.616,0.618,4573003.0
2026-07-10,0.617,0.634,0.611,0.632,5378312.0
2026-07-13,0.628,0.635,0.623,0.631,5863664.0
2026-07-14,0.633,0.634,0.626,0.632,4957571.0
2026-07-15,0.627,0.657,0.626,0.656,8846112.0
2026-07-16,0.655,0.668,0.653,0.665,7328817.0
2026-07-17,0.665,0.67,0.65,0.653,6543962.0
