date,open,high,low,close,volume
2025-06-24,2.004,2.044,2.003,2.044,12388429.0
2025-06-25,2.05,2.113,2.05,2.109,16381973.0
2025-06-26,2.109,2.121,2.092,2.093,11040739.0
2025-06-27,2.1,2.125,2.091,2.101,11326780.0
2025-06-30,2.11,2.134,2.106,2.133,10634131.0
2025-07-01,2.128,2.131,2.112,2.126,6758008.0
2025-07-02,2.123,2.123,2.097,2.104,6869308.0
2025-07-03,2.11,2.147,2.108,2.141,10437516.0
2025-07-04,2.141,2.167,2.131,2.133,10770847.0
2025-07-07,2.126,2.134,2.106,2.11,7631514.0
2025-07-08,2.109,2.161,2.107,2.159,12591227.0
2025-07-09,2.157,2.183,2.155,2.163,11223645.0
2025-07-10,2.17,2.179,2.153,2.169,8455356.0
2025-07-11,2.169,2.202,2.159,2.185,11419299.0
2025-07-14,2.18,2.187,2.167,2.177,6661325.0
2025-07-15,2.184,2.223,2.184,2.212,14273177.0
2025-07-16,2.217,2.237,2.205,2.206,8014571.0
2025-07-17,2.205,2.247,2.204,2.247,9615694.0
2025-07-18,2.256,2.274,2.241,2.252,9440410.0
2025-07-21,2.258,2.275,2.251,2.275,9911442.0
2025-07-22,2.274,2.291,2.267,2.289,10784625.0
2025-07-23,2.288,2.31,2.281,2.287,12335622.0
2025-07-24,2.297,2.325,2.291,2.325,10346952.0
2025-07-25,2.326,2.326,2.308,2.318,7610292.0
2025-07-28,2.322,2.344,2.311,2.342,8647995.0
2025-07-29,2.338,2.384,2.332,2.383,10423053.0
2025-07-30,2.378,2.378,2.325,2.345,17952943.0
2025-07-31,2.354,2.37,2.299,2.301,19803836.0
2025-08-01,2.296,2.324,2.281,2.303,11371253.0
2025-08-04,2.285,2.313,2.282,2.313,7651039.0
2025-08-05,2.326,2.328,2.3,2.32,10464315.0
2025-08-06,2.314,2.338,2.312,2.336,8691742.0
2025-08-07,2.338,2.35,2.3,2.32,11035689.0
2025-08-08,2.314,2.331,2.307,2.312,7461764.0
